objectid,filename,title,creator,date,description,subject,location,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
coll003,lifta_10.jpg,lifta_10.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.800219,35.199619,,1,Image;StillImage,image/jpeg,,,
coll004,lifta_100.jpg,lifta_100.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.7975,35.196756,,2,Image;StillImage,image/jpeg,,,
coll005,lifta_101.jpg,lifta_101.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797433,35.196792,,3,Image;StillImage,image/jpeg,,,
coll006,lifta_102.jpg,lifta_102.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797433,35.196792,,4,Image;StillImage,image/jpeg,,,
coll007,lifta_103.jpg,lifta_103.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797433,35.196792,,5,Image;StillImage,image/jpeg,,,
coll008,lifta_104.jpg,lifta_104.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797433,35.196792,,6,Image;StillImage,image/jpeg,,,
coll009,lifta_105.jpg,lifta_105.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797433,35.196792,,7,Image;StillImage,image/jpeg,,,
coll010,lifta_106.jpg,lifta_106.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797433,35.196792,,8,Image;StillImage,image/jpeg,,,
coll011,lifta_107.jpg,lifta_107.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797433,35.196792,,9,Image;StillImage,image/jpeg,,,
coll012,lifta_108.jpg,lifta_108.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797433,35.196792,,10,Image;StillImage,image/jpeg,,,
coll013,lifta_109.jpg,lifta_109.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797433,35.196792,,11,Image;StillImage,image/jpeg,,,
coll014,lifta_11.jpg,lifta_11.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.80025,35.199036,,12,Image;StillImage,image/jpeg,,,
coll015,lifta_110.jpg,lifta_110.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797383,35.196819,,13,Image;StillImage,image/jpeg,,,
coll016,lifta_111.jpg,lifta_111.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797417,35.196828,,14,Image;StillImage,image/jpeg,,,
