objectid,filename,title,creator,date,description,subject,location,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
coll002,lifta_1.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",,,,lifta_1.jpg,Image;StillImage,image/jpg,,,
coll003,lifta_10.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.800219 N,35.199619 E,,lifta_10.jpg,Image;StillImage,image/jpg,,,
coll004,lifta_100.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797500 N,35.196756 E,,lifta_100.jpg,Image;StillImage,image/jpg,,,
coll005,lifta_101.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797433 N,35.196792 E,,lifta_101.jpg,Image;StillImage,image/jpg,,,
coll006,lifta_102.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797433 N,35.196792 E,,lifta_102.jpg,Image;StillImage,image/jpg,,,
coll007,lifta_103.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797433 N,35.196792 E,,lifta_103.jpg,Image;StillImage,image/jpg,,,
coll008,lifta_104.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797433 N,35.196792 E,,lifta_104.jpg,Image;StillImage,image/jpg,,,
coll009,lifta_105.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797433 N,35.196792 E,,lifta_105.jpg,Image;StillImage,image/jpg,,,
coll010,lifta_106.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797433 N,35.196792 E,,lifta_106.jpg,Image;StillImage,image/jpg,,,
coll011,lifta_107.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797433 N,35.196792 E,,lifta_107.jpg,Image;StillImage,image/jpg,,,
coll012,lifta_108.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797433 N,35.196792 E,,lifta_108.jpg,Image;StillImage,image/jpg,,,
coll013,lifta_109.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797433 N,35.196792 E,,lifta_109.jpg,Image;StillImage,image/jpg,,,
coll014,lifta_11.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.800250 N,35.199036 E,,lifta_11.jpg,Image;StillImage,image/jpg,,,
coll015,lifta_110.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797383 N,35.196819 E,,lifta_110.jpg,Image;StillImage,image/jpg,,,
coll016,lifta_111.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797417 N,35.196828 E,,lifta_111.jpg,Image;StillImage,image/jpg,,,
coll017,lifta_112.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797417 N,35.196828 E,,lifta_112.jpg,Image;StillImage,image/jpg,,,
coll018,lifta_113.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797681 N,35.197261 E,,lifta_113.jpg,Image;StillImage,image/jpg,,,
coll019,lifta_114.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797631 N,35.196531 E,,lifta_114.jpg,Image;StillImage,image/jpg,,,
coll020,lifta_115.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797631 N,35.196531 E,,lifta_115.jpg,Image;StillImage,image/jpg,,,
coll021,lifta_116.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797619 N,35.196522 E,,lifta_116.jpg,Image;StillImage,image/jpg,,,
coll022,lifta_117.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797706 N,35.196531 E,,lifta_117.jpg,Image;StillImage,image/jpg,,,
coll023,lifta_118.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797628 N,35.196606 E,,lifta_118.jpg,Image;StillImage,image/jpg,,,
coll024,lifta_119.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797619 N,35.196592 E,,lifta_119.jpg,Image;StillImage,image/jpg,,,
coll025,lifta_12.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.800214 N,35.198914 E,,lifta_12.jpg,Image;StillImage,image/jpg,,,
coll026,lifta_120.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797619 N,35.196592 E,,lifta_120.jpg,Image;StillImage,image/jpg,,,
coll027,lifta_121.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797506 N,35.196644 E,,lifta_121.jpg,Image;StillImage,image/jpg,,,
coll028,lifta_122.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797419 N,35.196742 E,,lifta_122.jpg,Image;StillImage,image/jpg,,,
coll029,lifta_123.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797444 N,35.196669 E,,lifta_123.jpg,Image;StillImage,image/jpg,,,
coll030,lifta_124.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797475 N,35.196625 E,,lifta_124.jpg,Image;StillImage,image/jpg,,,
coll031,lifta_125.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797450 N,35.196653 E,,lifta_125.jpg,Image;StillImage,image/jpg,,,
coll032,lifta_126.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797450 N,35.196653 E,,lifta_126.jpg,Image;StillImage,image/jpg,,,
coll033,lifta_127.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797553 N,35.196486 E,,lifta_127.jpg,Image;StillImage,image/jpg,,,
coll034,lifta_128.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797372 N,35.196847 E,,lifta_128.jpg,Image;StillImage,image/jpg,,,
coll035,lifta_129.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797492 N,35.196019 E,,lifta_129.jpg,Image;StillImage,image/jpg,,,
coll036,lifta_13.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.800019 N,35.198903 E,,lifta_13.jpg,Image;StillImage,image/jpg,,,
coll037,lifta_130.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797461 N,35.196786 E,,lifta_130.jpg,Image;StillImage,image/jpg,,,
coll038,lifta_131.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797414 N,35.196769 E,,lifta_131.jpg,Image;StillImage,image/jpg,,,
coll039,lifta_132.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797633 N,35.196731 E,,lifta_132.jpg,Image;StillImage,image/jpg,,,
coll040,lifta_133.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797608 N,35.196514 E,,lifta_133.jpg,Image;StillImage,image/jpg,,,
coll041,lifta_134.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797669 N,35.196633 E,,lifta_134.jpg,Image;StillImage,image/jpg,,,
coll042,lifta_135.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797725 N,35.196644 E,,lifta_135.jpg,Image;StillImage,image/jpg,,,
coll043,lifta_136.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797392 N,35.196106 E,,lifta_136.jpg,Image;StillImage,image/jpg,,,
coll044,lifta_137.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797586 N,35.196536 E,,lifta_137.jpg,Image;StillImage,image/jpg,,,
coll045,lifta_138.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797589 N,35.196808 E,,lifta_138.jpg,Image;StillImage,image/jpg,,,
coll046,lifta_139.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797464 N,35.196608 E,,lifta_139.jpg,Image;StillImage,image/jpg,,,
coll047,lifta_14.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.800033 N,35.198906 E,,lifta_14.jpg,Image;StillImage,image/jpg,,,
coll048,lifta_140.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797433 N,35.196678 E,,lifta_140.jpg,Image;StillImage,image/jpg,,,
coll049,lifta_141.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797108 N,35.196747 E,,lifta_141.jpg,Image;StillImage,image/jpg,,,
coll050,lifta_142.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797403 N,35.196675 E,,lifta_142.jpg,Image;StillImage,image/jpg,,,
coll051,lifta_143.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797200 N,35.196761 E,,lifta_143.jpg,Image;StillImage,image/jpg,,,
coll052,lifta_144.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.798753 N,35.197006 E,,lifta_144.jpg,Image;StillImage,image/jpg,,,
coll053,lifta_145.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797419 N,35.192939 E,,lifta_145.jpg,Image;StillImage,image/jpg,,,
coll054,lifta_146.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797117 N,35.196658 E,,lifta_146.jpg,Image;StillImage,image/jpg,,,
coll055,lifta_147.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797225 N,35.196700 E,,lifta_147.jpg,Image;StillImage,image/jpg,,,
coll056,lifta_148.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797153 N,35.196586 E,,lifta_148.jpg,Image;StillImage,image/jpg,,,
coll057,lifta_149.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797031 N,35.196247 E,,lifta_149.jpg,Image;StillImage,image/jpg,,,
coll058,lifta_15.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799867 N,35.199242 E,,lifta_15.jpg,Image;StillImage,image/jpg,,,
coll059,lifta_150.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797114 N,35.196586 E,,lifta_150.jpg,Image;StillImage,image/jpg,,,
coll060,lifta_151.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797067 N,35.196656 E,,lifta_151.jpg,Image;StillImage,image/jpg,,,
coll061,lifta_152.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797133 N,35.196553 E,,lifta_152.jpg,Image;StillImage,image/jpg,,,
coll062,lifta_153.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797131 N,35.196392 E,,lifta_153.jpg,Image;StillImage,image/jpg,,,
coll063,lifta_154.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797117 N,35.196469 E,,lifta_154.jpg,Image;StillImage,image/jpg,,,
coll064,lifta_155.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797100 N,35.196381 E,,lifta_155.jpg,Image;StillImage,image/jpg,,,
coll065,lifta_156.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797108 N,35.196400 E,,lifta_156.jpg,Image;StillImage,image/jpg,,,
coll066,lifta_157.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797108 N,35.196411 E,,lifta_157.jpg,Image;StillImage,image/jpg,,,
coll067,lifta_158.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797169 N,35.196378 E,,lifta_158.jpg,Image;StillImage,image/jpg,,,
coll068,lifta_159.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797175 N,35.196358 E,,lifta_159.jpg,Image;StillImage,image/jpg,,,
coll069,lifta_16.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799928 N,35.198917 E,,lifta_16.jpg,Image;StillImage,image/jpg,,,
coll070,lifta_160.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797175 N,35.196353 E,,lifta_160.jpg,Image;StillImage,image/jpg,,,
coll071,lifta_161.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797183 N,35.196350 E,,lifta_161.jpg,Image;StillImage,image/jpg,,,
coll072,lifta_162.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797236 N,35.196217 E,,lifta_162.jpg,Image;StillImage,image/jpg,,,
coll073,lifta_163.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797236 N,35.196217 E,,lifta_163.jpg,Image;StillImage,image/jpg,,,
coll074,lifta_164.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797231 N,35.196208 E,,lifta_164.jpg,Image;StillImage,image/jpg,,,
coll075,lifta_165.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797219 N,35.196197 E,,lifta_165.jpg,Image;StillImage,image/jpg,,,
coll076,lifta_166.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797389 N,35.196136 E,,lifta_166.jpg,Image;StillImage,image/jpg,,,
coll077,lifta_167.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797272 N,35.196053 E,,lifta_167.jpg,Image;StillImage,image/jpg,,,
coll078,lifta_168.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797225 N,35.196183 E,,lifta_168.jpg,Image;StillImage,image/jpg,,,
coll079,lifta_169.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797172 N,35.196197 E,,lifta_169.jpg,Image;StillImage,image/jpg,,,
coll080,lifta_17.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799686 N,35.198247 E,,lifta_17.jpg,Image;StillImage,image/jpg,,,
coll081,lifta_170.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797147 N,35.195942 E,,lifta_170.jpg,Image;StillImage,image/jpg,,,
coll082,lifta_171.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797019 N,35.196194 E,,lifta_171.jpg,Image;StillImage,image/jpg,,,
coll083,lifta_172.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796989 N,35.196094 E,,lifta_172.jpg,Image;StillImage,image/jpg,,,
coll084,lifta_173.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797000 N,35.196050 E,,lifta_173.jpg,Image;StillImage,image/jpg,,,
coll085,lifta_174.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797000 N,35.196050 E,,lifta_174.jpg,Image;StillImage,image/jpg,,,
coll086,lifta_175.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797000 N,35.196050 E,,lifta_175.jpg,Image;StillImage,image/jpg,,,
coll087,lifta_176.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797000 N,35.196050 E,,lifta_176.jpg,Image;StillImage,image/jpg,,,
coll088,lifta_177.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797011 N,35.196403 E,,lifta_177.jpg,Image;StillImage,image/jpg,,,
coll089,lifta_178.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797103 N,35.196081 E,,lifta_178.jpg,Image;StillImage,image/jpg,,,
coll090,lifta_179.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797017 N,35.196050 E,,lifta_179.jpg,Image;StillImage,image/jpg,,,
coll091,lifta_18.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799703 N,35.198519 E,,lifta_18.jpg,Image;StillImage,image/jpg,,,
coll092,lifta_180.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797017 N,35.196050 E,,lifta_180.jpg,Image;StillImage,image/jpg,,,
coll093,lifta_181.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796878 N,35.196072 E,,lifta_181.jpg,Image;StillImage,image/jpg,,,
coll094,lifta_182.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796878 N,35.196092 E,,lifta_182.jpg,Image;StillImage,image/jpg,,,
coll095,lifta_183.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796775 N,35.195961 E,,lifta_183.jpg,Image;StillImage,image/jpg,,,
coll096,lifta_184.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796775 N,35.195961 E,,lifta_184.jpg,Image;StillImage,image/jpg,,,
coll097,lifta_185.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796800 N,35.195972 E,,lifta_185.jpg,Image;StillImage,image/jpg,,,
coll098,lifta_186.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796694 N,35.195889 E,,lifta_186.jpg,Image;StillImage,image/jpg,,,
coll099,lifta_187.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796622 N,35.195922 E,,lifta_187.jpg,Image;StillImage,image/jpg,,,
