objectid,filename,title,creator,date,description,subject,location,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
coll002,lifta_1.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",,,,,Image;StillImage,image/jpeg,,,
coll003,lifta_10.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.800219 N,35.199619 E,,,Image;StillImage,image/jpeg,,,
coll004,lifta_100.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797500 N,35.196756 E,,,Image;StillImage,image/jpeg,,,
coll005,lifta_101.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797433 N,35.196792 E,,,Image;StillImage,image/jpeg,,,
coll006,lifta_102.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797433 N,35.196792 E,,,Image;StillImage,image/jpeg,,,
coll007,lifta_103.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797433 N,35.196792 E,,,Image;StillImage,image/jpeg,,,
coll008,lifta_104.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797433 N,35.196792 E,,,Image;StillImage,image/jpeg,,,
coll009,lifta_105.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797433 N,35.196792 E,,,Image;StillImage,image/jpeg,,,
coll010,lifta_106.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797433 N,35.196792 E,,,Image;StillImage,image/jpeg,,,
coll011,lifta_107.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797433 N,35.196792 E,,,Image;StillImage,image/jpeg,,,
coll012,lifta_108.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797433 N,35.196792 E,,,Image;StillImage,image/jpeg,,,
coll013,lifta_109.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797433 N,35.196792 E,,,Image;StillImage,image/jpeg,,,
coll014,lifta_11.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.800250 N,35.199036 E,,,Image;StillImage,image/jpeg,,,
coll015,lifta_110.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797383 N,35.196819 E,,,Image;StillImage,image/jpeg,,,
coll016,lifta_111.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797417 N,35.196828 E,,,Image;StillImage,image/jpeg,,,
coll017,lifta_112.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797417 N,35.196828 E,,,Image;StillImage,image/jpeg,,,
coll018,lifta_113.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797681 N,35.197261 E,,,Image;StillImage,image/jpeg,,,
coll019,lifta_114.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797631 N,35.196531 E,,,Image;StillImage,image/jpeg,,,
coll020,lifta_115.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797631 N,35.196531 E,,,Image;StillImage,image/jpeg,,,
coll021,lifta_116.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797619 N,35.196522 E,,,Image;StillImage,image/jpeg,,,
coll022,lifta_117.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797706 N,35.196531 E,,,Image;StillImage,image/jpeg,,,
coll023,lifta_118.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797628 N,35.196606 E,,,Image;StillImage,image/jpeg,,,
coll024,lifta_119.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797619 N,35.196592 E,,,Image;StillImage,image/jpeg,,,
coll025,lifta_12.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.800214 N,35.198914 E,,,Image;StillImage,image/jpeg,,,
coll026,lifta_120.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797619 N,35.196592 E,,,Image;StillImage,image/jpeg,,,
coll027,lifta_121.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797506 N,35.196644 E,,,Image;StillImage,image/jpeg,,,
coll028,lifta_122.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797419 N,35.196742 E,,,Image;StillImage,image/jpeg,,,
coll029,lifta_123.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797444 N,35.196669 E,,,Image;StillImage,image/jpeg,,,
coll030,lifta_124.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797475 N,35.196625 E,,,Image;StillImage,image/jpeg,,,
coll031,lifta_125.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797450 N,35.196653 E,,,Image;StillImage,image/jpeg,,,
coll032,lifta_126.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797450 N,35.196653 E,,,Image;StillImage,image/jpeg,,,
coll033,lifta_127.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797553 N,35.196486 E,,,Image;StillImage,image/jpeg,,,
